=== [1/5] Thu Aug 20 00:04:53 UTC 2026 run_main_results.py --dataset toniot --seeds 42 43 44 ===
01:05:07 | INFO    | src.pipeline | [toniot] Preparing dataset (Delta t = 60s, mapping='primary')...
01:38:44 | WARNING | run_main_results | [toniot] Impact forecasting SKIPPED (instance-level gate): ['TEST split has only one class present (0 positive / 798 negative of 798 instances) -- ROC-AUC/PR-AUC/Capture@k are undefined without both classes.']
01:38:44 | INFO    | run_main_results | [toniot] Main results done. Written to /mnt/c/Users/kumar2_m/iiot-gnn-ids/results/toniot/main, /mnt/c/Users/kumar2_m/iiot-gnn-ids/results/manuscript_tables, /mnt/c/Users/kumar2_m/iiot-gnn-ids/results/figures/toniot
=== [1/5] DONE Thu Aug 20 00:38:47 UTC 2026 ===
=== [2/5] Thu Aug 20 00:38:47 UTC 2026 run_reviewer_experiments.py --dataset toniot ===
01:38:59 | INFO    | src.pipeline | [toniot] Preparing dataset (Delta t = 60s, mapping='primary')...
01:38:59 | INFO    | src.data.base_adapter | Reading /mnt/c/Users/kumar2_m/iiot-gnn-ids/data/raw/toniot/Train_Test_Network.csv ...
01:39:05 | INFO    | src.data.base_adapter | Loaded 461,043 rows, 45 raw columns from 1 file(s).
01:39:05 | INFO    | src.data.generic_adapter | [toniot] Matched identity/label columns: {'timestamp': 'ts', 'src_id': 'src_ip', 'dst_id': 'dst_ip', 'binary_label': 'label', 'attack_type': 'type'}
01:39:06 | INFO    | src.data.generic_adapter | [toniot] Data quality: {'n_rows_raw': 461043, 'n_rows_kept': 461043, 'n_distinct_assets': 11536, 'timestamp_parseable_frac': 1.0, 'has_peer_id': True, 'attack_type_source': 'column'}
01:39:16 | INFO    | src.graph.graph_builder | Graph built: 34,435 nodes | 20,336 interaction-edge endpoints | 45,798 temporal-edge endpoints
01:39:16 | INFO    | src.pipeline | [toniot] Prepared 34,435 window instances (27,326 train / 3,796 val / 3,313 test), 126 features.
01:39:16 | INFO    | run_reviewer_experiments | [window sensitivity] Delta t = 30s
01:39:16 | INFO    | src.pipeline | [toniot] Preparing dataset (Delta t = 30s, mapping='primary')...
01:39:16 | INFO    | src.data.base_adapter | Reading /mnt/c/Users/kumar2_m/iiot-gnn-ids/data/raw/toniot/Train_Test_Network.csv ...
01:39:22 | INFO    | src.data.base_adapter | Loaded 461,043 rows, 45 raw columns from 1 file(s).
01:39:22 | INFO    | src.data.generic_adapter | [toniot] Matched identity/label columns: {'timestamp': 'ts', 'src_id': 'src_ip', 'dst_id': 'dst_ip', 'binary_label': 'label', 'attack_type': 'type'}
01:39:22 | INFO    | src.data.generic_adapter | [toniot] Data quality: {'n_rows_raw': 461043, 'n_rows_kept': 461043, 'n_distinct_assets': 11536, 'timestamp_parseable_frac': 1.0, 'has_peer_id': True, 'attack_type_source': 'column'}
01:39:32 | INFO    | src.graph.graph_builder | Graph built: 44,688 nodes | 22,282 interaction-edge endpoints | 66,304 temporal-edge endpoints
01:39:32 | INFO    | src.pipeline | [toniot] Prepared 44,688 window instances (37,328 train / 3,901 val / 3,459 test), 127 features.
01:39:32 | INFO    | src.training.stage_detector_trainer | Fitting final Random Forest on full train split...
01:39:38 | INFO    | src.training.stage_detector_trainer | Fitting final GCN on full train split (transductive forward pass over full graph)...
01:39:57 | INFO    | src.training.stage_detector_trainer | Generating out-of-fold stacking features with 3-fold asset-disjoint CV...
01:40:08 | INFO    | src.training.stage_detector_trainer |   fold 1/3: 12443 held-out train instances scored
01:40:18 | INFO    | src.training.stage_detector_trainer |   fold 2/3: 12443 held-out train instances scored
01:40:33 | INFO    | src.training.stage_detector_trainer |   fold 3/3: 12442 held-out train instances scored
01:40:33 | INFO    | src.training.stage_detector_trainer | Fitting stacking meta-learner (type=logistic_regression)...
01:40:42 | INFO    | run_reviewer_experiments | [window sensitivity] Delta t = 60s
01:40:42 | INFO    | src.pipeline | [toniot] Preparing dataset (Delta t = 60s, mapping='primary')...
01:40:42 | INFO    | src.data.base_adapter | Reading /mnt/c/Users/kumar2_m/iiot-gnn-ids/data/raw/toniot/Train_Test_Network.csv ...
01:40:47 | INFO    | src.data.base_adapter | Loaded 461,043 rows, 45 raw columns from 1 file(s).
01:40:47 | INFO    | src.data.generic_adapter | [toniot] Matched identity/label columns: {'timestamp': 'ts', 'src_id': 'src_ip', 'dst_id': 'dst_ip', 'binary_label': 'label', 'attack_type': 'type'}
01:40:47 | INFO    | src.data.generic_adapter | [toniot] Data quality: {'n_rows_raw': 461043, 'n_rows_kept': 461043, 'n_distinct_assets': 11536, 'timestamp_parseable_frac': 1.0, 'has_peer_id': True, 'attack_type_source': 'column'}
01:40:56 | INFO    | src.graph.graph_builder | Graph built: 34,435 nodes | 20,336 interaction-edge endpoints | 45,798 temporal-edge endpoints
01:40:56 | INFO    | src.pipeline | [toniot] Prepared 34,435 window instances (27,326 train / 3,796 val / 3,313 test), 126 features.
01:40:56 | INFO    | src.training.stage_detector_trainer | Fitting final Random Forest on full train split...
01:41:00 | INFO    | src.training.stage_detector_trainer | Fitting final GCN on full train split (transductive forward pass over full graph)...
01:41:07 | INFO    | src.training.stage_detector_trainer | Generating out-of-fold stacking features with 3-fold asset-disjoint CV...
01:41:14 | INFO    | src.training.stage_detector_trainer |   fold 1/3: 9109 held-out train instances scored
01:41:21 | INFO    | src.training.stage_detector_trainer |   fold 2/3: 9109 held-out train instances scored
01:41:26 | INFO    | src.training.stage_detector_trainer |   fold 3/3: 9108 held-out train instances scored
01:41:26 | INFO    | src.training.stage_detector_trainer | Fitting stacking meta-learner (type=logistic_regression)...
01:41:35 | INFO    | run_reviewer_experiments | [window sensitivity] Delta t = 120s
01:41:35 | INFO    | src.pipeline | [toniot] Preparing dataset (Delta t = 120s, mapping='primary')...
01:41:35 | INFO    | src.data.base_adapter | Reading /mnt/c/Users/kumar2_m/iiot-gnn-ids/data/raw/toniot/Train_Test_Network.csv ...
01:41:40 | INFO    | src.data.base_adapter | Loaded 461,043 rows, 45 raw columns from 1 file(s).
01:41:40 | INFO    | src.data.generic_adapter | [toniot] Matched identity/label columns: {'timestamp': 'ts', 'src_id': 'src_ip', 'dst_id': 'dst_ip', 'binary_label': 'label', 'attack_type': 'type'}
01:41:40 | INFO    | src.data.generic_adapter | [toniot] Data quality: {'n_rows_raw': 461043, 'n_rows_kept': 461043, 'n_distinct_assets': 11536, 'timestamp_parseable_frac': 1.0, 'has_peer_id': True, 'attack_type_source': 'column'}
01:41:48 | INFO    | src.graph.graph_builder | Graph built: 26,561 nodes | 18,300 interaction-edge endpoints | 30,050 temporal-edge endpoints
01:41:48 | INFO    | src.pipeline | [toniot] Prepared 26,561 window instances (19,848 train / 3,597 val / 3,116 test), 126 features.
01:41:48 | INFO    | src.training.stage_detector_trainer | Fitting final Random Forest on full train split...
01:41:52 | INFO    | src.training.stage_detector_trainer | Fitting final GCN on full train split (transductive forward pass over full graph)...
01:41:59 | INFO    | src.training.stage_detector_trainer | Generating out-of-fold stacking features with 3-fold asset-disjoint CV...
01:42:03 | INFO    | src.training.stage_detector_trainer |   fold 1/3: 6616 held-out train instances scored
01:42:16 | INFO    | src.training.stage_detector_trainer |   fold 2/3: 6616 held-out train instances scored
01:42:21 | INFO    | src.training.stage_detector_trainer |   fold 3/3: 6616 held-out train instances scored
01:42:21 | INFO    | src.training.stage_detector_trainer | Fitting stacking meta-learner (type=logistic_regression)...
01:42:27 | INFO    | run_reviewer_experiments | [window sensitivity] Delta t = 300s
01:42:27 | INFO    | src.pipeline | [toniot] Preparing dataset (Delta t = 300s, mapping='primary')...
01:42:27 | INFO    | src.data.base_adapter | Reading /mnt/c/Users/kumar2_m/iiot-gnn-ids/data/raw/toniot/Train_Test_Network.csv ...
01:42:32 | INFO    | src.data.base_adapter | Loaded 461,043 rows, 45 raw columns from 1 file(s).
01:42:32 | INFO    | src.data.generic_adapter | [toniot] Matched identity/label columns: {'timestamp': 'ts', 'src_id': 'src_ip', 'dst_id': 'dst_ip', 'binary_label': 'label', 'attack_type': 'type'}
01:42:32 | INFO    | src.data.generic_adapter | [toniot] Data quality: {'n_rows_raw': 461043, 'n_rows_kept': 461043, 'n_distinct_assets': 11536, 'timestamp_parseable_frac': 1.0, 'has_peer_id': True, 'attack_type_source': 'column'}
01:42:43 | INFO    | src.graph.graph_builder | Graph built: 20,094 nodes | 21,898 interaction-edge endpoints | 17,116 temporal-edge endpoints
01:42:43 | INFO    | src.pipeline | [toniot] Prepared 20,094 window instances (13,909 train / 3,302 val / 2,883 test), 122 features.
01:42:43 | INFO    | src.training.stage_detector_trainer | Fitting final Random Forest on full train split...
01:42:48 | INFO    | src.training.stage_detector_trainer | Fitting final GCN on full train split (transductive forward pass over full graph)...
01:43:01 | INFO    | src.training.stage_detector_trainer | Generating out-of-fold stacking features with 3-fold asset-disjoint CV...
01:43:05 | INFO    | src.training.stage_detector_trainer |   fold 1/3: 4637 held-out train instances scored
01:43:09 | INFO    | src.training.stage_detector_trainer |   fold 2/3: 4636 held-out train instances scored
01:43:19 | INFO    | src.training.stage_detector_trainer |   fold 3/3: 4636 held-out train instances scored
01:43:19 | INFO    | src.training.stage_detector_trainer | Fitting stacking meta-learner (type=logistic_regression)...
01:43:27 | INFO    | src.pipeline | [toniot] Preparing dataset (Delta t = 60s, mapping='primary')...
01:43:27 | INFO    | src.data.base_adapter | Reading /mnt/c/Users/kumar2_m/iiot-gnn-ids/data/raw/toniot/Train_Test_Network.csv ...
01:43:32 | INFO    | src.data.base_adapter | Loaded 461,043 rows, 45 raw columns from 1 file(s).
01:43:32 | INFO    | src.data.generic_adapter | [toniot] Matched identity/label columns: {'timestamp': 'ts', 'src_id': 'src_ip', 'dst_id': 'dst_ip', 'binary_label': 'label', 'attack_type': 'type'}
01:43:32 | INFO    | src.data.generic_adapter | [toniot] Data quality: {'n_rows_raw': 461043, 'n_rows_kept': 461043, 'n_distinct_assets': 11536, 'timestamp_parseable_frac': 1.0, 'has_peer_id': True, 'attack_type_source': 'column'}
01:43:41 | INFO    | src.graph.graph_builder | Graph built: 34,435 nodes | 20,336 interaction-edge endpoints | 45,798 temporal-edge endpoints
01:43:41 | INFO    | src.pipeline | [toniot] Prepared 34,435 window instances (27,326 train / 3,796 val / 3,313 test), 126 features.
01:43:41 | INFO    | src.training.stage_detector_trainer | Fitting final Random Forest on full train split...
01:43:46 | INFO    | src.training.stage_detector_trainer | Fitting final GCN on full train split (transductive forward pass over full graph)...
01:43:52 | INFO    | src.training.stage_detector_trainer | Generating out-of-fold stacking features with 3-fold asset-disjoint CV...
01:43:58 | INFO    | src.training.stage_detector_trainer |   fold 1/3: 9109 held-out train instances scored
01:44:05 | INFO    | src.training.stage_detector_trainer |   fold 2/3: 9109 held-out train instances scored
01:44:11 | INFO    | src.training.stage_detector_trainer |   fold 3/3: 9108 held-out train instances scored
01:44:11 | INFO    | src.training.stage_detector_trainer | Fitting stacking meta-learner (type=logistic_regression)...
01:44:29 | WARNING | run_reviewer_experiments | [toniot] horizon_sensitivity SKIPPED: ['instance-level gate failed at every candidate horizon: H=10: TEST split has only one class present (0 positive / 814 negative of 814 instances) -- ROC-AUC/PR-AUC/Capture@k are undefined without both classes.; H=30: TEST split has only one class present (0 positive / 798 negative of 798 instances) -- ROC-AUC/PR-AUC/Capture@k are undefined without both classes.; H=60: TEST split has only one class present (0 positive / 778 negative of 778 instances) -- ROC-AUC/PR-AUC/Capture@k are undefined without both classes.']
01:44:29 | INFO    | run_reviewer_experiments | [stage-mapping sensitivity] variant = primary
01:44:29 | INFO    | src.pipeline | [toniot] Preparing dataset (Delta t = 60s, mapping='primary')...
01:44:29 | INFO    | src.data.base_adapter | Reading /mnt/c/Users/kumar2_m/iiot-gnn-ids/data/raw/toniot/Train_Test_Network.csv ...
01:44:33 | INFO    | src.data.base_adapter | Loaded 461,043 rows, 45 raw columns from 1 file(s).
01:44:33 | INFO    | src.data.generic_adapter | [toniot] Matched identity/label columns: {'timestamp': 'ts', 'src_id': 'src_ip', 'dst_id': 'dst_ip', 'binary_label': 'label', 'attack_type': 'type'}
01:44:34 | INFO    | src.data.generic_adapter | [toniot] Data quality: {'n_rows_raw': 461043, 'n_rows_kept': 461043, 'n_distinct_assets': 11536, 'timestamp_parseable_frac': 1.0, 'has_peer_id': True, 'attack_type_source': 'column'}
01:44:42 | INFO    | src.graph.graph_builder | Graph built: 34,435 nodes | 20,336 interaction-edge endpoints | 45,798 temporal-edge endpoints
01:44:42 | INFO    | src.pipeline | [toniot] Prepared 34,435 window instances (27,326 train / 3,796 val / 3,313 test), 126 features.
01:44:42 | INFO    | src.training.stage_detector_trainer | Fitting final Random Forest on full train split...
01:44:46 | INFO    | src.training.stage_detector_trainer | Fitting final GCN on full train split (transductive forward pass over full graph)...
01:44:57 | INFO    | src.training.stage_detector_trainer | Generating out-of-fold stacking features with 3-fold asset-disjoint CV...
01:45:03 | INFO    | src.training.stage_detector_trainer |   fold 1/3: 9109 held-out train instances scored
01:45:10 | INFO    | src.training.stage_detector_trainer |   fold 2/3: 9109 held-out train instances scored
01:45:15 | INFO    | src.training.stage_detector_trainer |   fold 3/3: 9108 held-out train instances scored
01:45:15 | INFO    | src.training.stage_detector_trainer | Fitting stacking meta-learner (type=logistic_regression)...
01:45:22 | INFO    | run_reviewer_experiments | [stage-mapping sensitivity] variant = conservative
01:45:22 | INFO    | src.pipeline | [toniot] Preparing dataset (Delta t = 60s, mapping='conservative')...
01:45:22 | INFO    | src.data.base_adapter | Reading /mnt/c/Users/kumar2_m/iiot-gnn-ids/data/raw/toniot/Train_Test_Network.csv ...
01:45:28 | INFO    | src.data.base_adapter | Loaded 461,043 rows, 45 raw columns from 1 file(s).
01:45:28 | INFO    | src.data.generic_adapter | [toniot] Matched identity/label columns: {'timestamp': 'ts', 'src_id': 'src_ip', 'dst_id': 'dst_ip', 'binary_label': 'label', 'attack_type': 'type'}
01:45:28 | INFO    | src.data.generic_adapter | [toniot] Data quality: {'n_rows_raw': 461043, 'n_rows_kept': 461043, 'n_distinct_assets': 11536, 'timestamp_parseable_frac': 1.0, 'has_peer_id': True, 'attack_type_source': 'column'}
01:45:37 | INFO    | src.graph.graph_builder | Graph built: 34,435 nodes | 20,336 interaction-edge endpoints | 45,798 temporal-edge endpoints
01:45:37 | INFO    | src.pipeline | [toniot] Prepared 34,435 window instances (27,326 train / 3,796 val / 3,313 test), 126 features.
01:45:37 | INFO    | src.training.stage_detector_trainer | Fitting final Random Forest on full train split...
01:45:44 | INFO    | src.training.stage_detector_trainer | Fitting final GCN on full train split (transductive forward pass over full graph)...
01:45:51 | INFO    | src.training.stage_detector_trainer | Generating out-of-fold stacking features with 3-fold asset-disjoint CV...
01:45:58 | INFO    | src.training.stage_detector_trainer |   fold 1/3: 9109 held-out train instances scored
01:46:05 | INFO    | src.training.stage_detector_trainer |   fold 2/3: 9109 held-out train instances scored
01:46:12 | INFO    | src.training.stage_detector_trainer |   fold 3/3: 9108 held-out train instances scored
01:46:12 | INFO    | src.training.stage_detector_trainer | Fitting stacking meta-learner (type=logistic_regression)...
01:46:20 | INFO    | run_reviewer_experiments | [stage-mapping sensitivity] variant = expanded
01:46:20 | INFO    | src.pipeline | [toniot] Preparing dataset (Delta t = 60s, mapping='expanded')...
01:46:20 | INFO    | src.data.base_adapter | Reading /mnt/c/Users/kumar2_m/iiot-gnn-ids/data/raw/toniot/Train_Test_Network.csv ...
01:46:25 | INFO    | src.data.base_adapter | Loaded 461,043 rows, 45 raw columns from 1 file(s).
01:46:25 | INFO    | src.data.generic_adapter | [toniot] Matched identity/label columns: {'timestamp': 'ts', 'src_id': 'src_ip', 'dst_id': 'dst_ip', 'binary_label': 'label', 'attack_type': 'type'}
01:46:25 | INFO    | src.data.generic_adapter | [toniot] Data quality: {'n_rows_raw': 461043, 'n_rows_kept': 461043, 'n_distinct_assets': 11536, 'timestamp_parseable_frac': 1.0, 'has_peer_id': True, 'attack_type_source': 'column'}
01:46:33 | INFO    | src.graph.graph_builder | Graph built: 34,435 nodes | 20,336 interaction-edge endpoints | 45,798 temporal-edge endpoints
01:46:33 | INFO    | src.pipeline | [toniot] Prepared 34,435 window instances (27,326 train / 3,796 val / 3,313 test), 126 features.
01:46:33 | INFO    | src.training.stage_detector_trainer | Fitting final Random Forest on full train split...
01:46:39 | INFO    | src.training.stage_detector_trainer | Fitting final GCN on full train split (transductive forward pass over full graph)...
01:46:46 | INFO    | src.training.stage_detector_trainer | Generating out-of-fold stacking features with 3-fold asset-disjoint CV...
01:46:55 | INFO    | src.training.stage_detector_trainer |   fold 1/3: 9109 held-out train instances scored
01:47:08 | INFO    | src.training.stage_detector_trainer |   fold 2/3: 9109 held-out train instances scored
01:47:14 | INFO    | src.training.stage_detector_trainer |   fold 3/3: 9108 held-out train instances scored
01:47:14 | INFO    | src.training.stage_detector_trainer | Fitting stacking meta-learner (type=logistic_regression)...
01:47:22 | INFO    | src.pipeline | [toniot] Preparing dataset (Delta t = 60s, mapping='primary')...
01:47:22 | INFO    | src.data.base_adapter | Reading /mnt/c/Users/kumar2_m/iiot-gnn-ids/data/raw/toniot/Train_Test_Network.csv ...
01:47:26 | INFO    | src.data.base_adapter | Loaded 461,043 rows, 45 raw columns from 1 file(s).
01:47:26 | INFO    | src.data.generic_adapter | [toniot] Matched identity/label columns: {'timestamp': 'ts', 'src_id': 'src_ip', 'dst_id': 'dst_ip', 'binary_label': 'label', 'attack_type': 'type'}
01:47:26 | INFO    | src.data.generic_adapter | [toniot] Data quality: {'n_rows_raw': 461043, 'n_rows_kept': 461043, 'n_distinct_assets': 11536, 'timestamp_parseable_frac': 1.0, 'has_peer_id': True, 'attack_type_source': 'column'}
01:47:35 | INFO    | src.graph.graph_builder | Graph built: 34,435 nodes | 20,336 interaction-edge endpoints | 45,798 temporal-edge endpoints
01:47:35 | INFO    | src.pipeline | [toniot] Prepared 34,435 window instances (27,326 train / 3,796 val / 3,313 test), 126 features.
01:47:35 | INFO    | run_reviewer_experiments | [graph ablation] mode = interaction_only
01:47:35 | INFO    | src.training.stage_detector_trainer | Fitting final Random Forest on full train split...
01:47:40 | INFO    | src.training.stage_detector_trainer | Fitting final GCN on full train split (transductive forward pass over full graph)...
01:47:46 | INFO    | src.training.stage_detector_trainer | Generating out-of-fold stacking features with 3-fold asset-disjoint CV...
01:47:51 | INFO    | src.training.stage_detector_trainer |   fold 1/3: 9109 held-out train instances scored
01:47:58 | INFO    | src.training.stage_detector_trainer |   fold 2/3: 9109 held-out train instances scored
01:48:03 | INFO    | src.training.stage_detector_trainer |   fold 3/3: 9108 held-out train instances scored
01:48:03 | INFO    | src.training.stage_detector_trainer | Fitting stacking meta-learner (type=logistic_regression)...
01:48:06 | INFO    | run_reviewer_experiments | [graph ablation] mode = temporal_only
01:48:06 | INFO    | src.training.stage_detector_trainer | Fitting final Random Forest on full train split...
01:48:10 | INFO    | src.training.stage_detector_trainer | Fitting final GCN on full train split (transductive forward pass over full graph)...
01:48:18 | INFO    | src.training.stage_detector_trainer | Generating out-of-fold stacking features with 3-fold asset-disjoint CV...
01:48:25 | INFO    | src.training.stage_detector_trainer |   fold 1/3: 9109 held-out train instances scored
01:48:31 | INFO    | src.training.stage_detector_trainer |   fold 2/3: 9109 held-out train instances scored
01:48:36 | INFO    | src.training.stage_detector_trainer |   fold 3/3: 9108 held-out train instances scored
01:48:36 | INFO    | src.training.stage_detector_trainer | Fitting stacking meta-learner (type=logistic_regression)...
01:48:39 | INFO    | run_reviewer_experiments | [graph ablation] mode = both
01:48:39 | INFO    | src.training.stage_detector_trainer | Fitting final Random Forest on full train split...
01:48:43 | INFO    | src.training.stage_detector_trainer | Fitting final GCN on full train split (transductive forward pass over full graph)...
01:48:50 | INFO    | src.training.stage_detector_trainer | Generating out-of-fold stacking features with 3-fold asset-disjoint CV...
01:48:57 | INFO    | src.training.stage_detector_trainer |   fold 1/3: 9109 held-out train instances scored
01:49:04 | INFO    | src.training.stage_detector_trainer |   fold 2/3: 9109 held-out train instances scored
01:49:09 | INFO    | src.training.stage_detector_trainer |   fold 3/3: 9108 held-out train instances scored
01:49:09 | INFO    | src.training.stage_detector_trainer | Fitting stacking meta-learner (type=logistic_regression)...
01:49:12 | INFO    | src.pipeline | [toniot] Preparing dataset (Delta t = 60s, mapping='primary')...
01:49:12 | INFO    | src.data.base_adapter | Reading /mnt/c/Users/kumar2_m/iiot-gnn-ids/data/raw/toniot/Train_Test_Network.csv ...
01:49:16 | INFO    | src.data.base_adapter | Loaded 461,043 rows, 45 raw columns from 1 file(s).
01:49:16 | INFO    | src.data.generic_adapter | [toniot] Matched identity/label columns: {'timestamp': 'ts', 'src_id': 'src_ip', 'dst_id': 'dst_ip', 'binary_label': 'label', 'attack_type': 'type'}
01:49:16 | INFO    | src.data.generic_adapter | [toniot] Data quality: {'n_rows_raw': 461043, 'n_rows_kept': 461043, 'n_distinct_assets': 11536, 'timestamp_parseable_frac': 1.0, 'has_peer_id': True, 'attack_type_source': 'column'}
01:49:25 | INFO    | src.graph.graph_builder | Graph built: 34,435 nodes | 20,336 interaction-edge endpoints | 45,798 temporal-edge endpoints
01:49:25 | INFO    | src.pipeline | [toniot] Prepared 34,435 window instances (27,326 train / 3,796 val / 3,313 test), 126 features.
01:49:25 | INFO    | run_reviewer_experiments | [meta-learner ablation] type = logistic_regression
01:49:25 | INFO    | src.training.stage_detector_trainer | Fitting final Random Forest on full train split...
01:49:29 | INFO    | src.training.stage_detector_trainer | Fitting final GCN on full train split (transductive forward pass over full graph)...
01:49:36 | INFO    | src.training.stage_detector_trainer | Generating out-of-fold stacking features with 3-fold asset-disjoint CV...
01:49:42 | INFO    | src.training.stage_detector_trainer |   fold 1/3: 9109 held-out train instances scored
01:49:49 | INFO    | src.training.stage_detector_trainer |   fold 2/3: 9109 held-out train instances scored
01:49:54 | INFO    | src.training.stage_detector_trainer |   fold 3/3: 9108 held-out train instances scored
01:49:54 | INFO    | src.training.stage_detector_trainer | Fitting stacking meta-learner (type=logistic_regression)...
01:49:56 | INFO    | run_reviewer_experiments | [meta-learner ablation] type = mlp
01:49:57 | INFO    | src.training.stage_detector_trainer | Fitting final Random Forest on full train split...
01:50:01 | INFO    | src.training.stage_detector_trainer | Fitting final GCN on full train split (transductive forward pass over full graph)...
01:50:08 | INFO    | src.training.stage_detector_trainer | Generating out-of-fold stacking features with 3-fold asset-disjoint CV...
01:50:13 | INFO    | src.training.stage_detector_trainer |   fold 1/3: 9109 held-out train instances scored
01:50:20 | INFO    | src.training.stage_detector_trainer |   fold 2/3: 9109 held-out train instances scored
01:50:26 | INFO    | src.training.stage_detector_trainer |   fold 3/3: 9108 held-out train instances scored
01:50:26 | INFO    | src.training.stage_detector_trainer | Fitting stacking meta-learner (type=mlp)...
01:50:33 | INFO    | run_reviewer_experiments | [meta-learner ablation] type = gradient_boosting
01:50:33 | INFO    | src.training.stage_detector_trainer | Fitting final Random Forest on full train split...
01:50:37 | INFO    | src.training.stage_detector_trainer | Fitting final GCN on full train split (transductive forward pass over full graph)...
01:50:44 | INFO    | src.training.stage_detector_trainer | Generating out-of-fold stacking features with 3-fold asset-disjoint CV...
01:50:50 | INFO    | src.training.stage_detector_trainer |   fold 1/3: 9109 held-out train instances scored
01:50:57 | INFO    | src.training.stage_detector_trainer |   fold 2/3: 9109 held-out train instances scored
01:51:03 | INFO    | src.training.stage_detector_trainer |   fold 3/3: 9108 held-out train instances scored
01:51:03 | INFO    | src.training.stage_detector_trainer | Fitting stacking meta-learner (type=gradient_boosting)...
01:51:58 | INFO    | src.pipeline | [toniot] Preparing dataset (Delta t = 60s, mapping='primary')...
